item,transaction_id,amount,date
mouse,TXN009,1682.41,2024-04-06
microphone,TXN010,1658.42,2024-03-20
projector,TXN011,1340.92,2024-03-06
smartwatch,TXN012,1575.53,2024-03-19
projector,TXN013,987.15,2024-04-03
graphics card,TXN014,1667.64,2024-02-01
battery,TXN015,1780.61,2024-01-23
mouse,TXN016,1631.0,2024-03-22
RAM,TXN017,273.85,2024-01-25
battery,TXN018,1162.87,2024-01-24
VR headset,TXN019,1241.29,2024-04-01
mouse,TXN020,367.77,2024-03-09
router,TXN021,1746.34,2024-03-23
USB drive,TXN022,216.89,2024-03-23
projector,TXN023,1407.13,2024-01-31
smartwatch,TXN024,316.61,2024-02-01
headset,TXN025,761.75,2024-02-04
VR headset,TXN026,1789.85,2024-02-09
microphone,TXN027,1668.63,2024-03-25
projector,TXN028,1026.76,2024-03-08
graphics card,TXN029,1398.76,2024-03-06
headset,TXN030,317.76,2024-04-08
webcam,TXN031,1597.17,2024-02-14
graphics card,TXN032,1055.1,2024-03-24
headset,TXN033,98.21,2024-03-24
headset,TXN034,1247.23,2024-03-06
CPU,TXN035,1648.77,2024-01-30
external HDD,TXN036,1990.53,2024-02-01
desk lamp,TXN037,1643.34,2024-04-09
desk lamp,TXN038,361.06,2024-04-13
keyboard,TXN039,1890.38,2024-01-24
microphone,TXN040,1122.28,2024-02-09
desk lamp,TXN041,1785.71,2024-03-02
projector,TXN042,1947.97,2024-03-15
tablet,TXN043,1250.35,2024-04-05
external HDD,TXN044,1454.4,2024-01-19
tablet,TXN045,1802.86,2024-02-06
webcam,TXN046,505.39,2024-03-06
printer,TXN047,1458.41,2024-03-08
RAM,TXN048,1467.53,2024-03-27
VR headset,TXN049,1290.06,2024-02-22
projector,TXN050,1360.94,2024-03-17
CPU,TXN051,472.55,2024-02-10
mouse,TXN052,452.72,2024-03-22
external HDD,TXN053,1071.18,2024-04-13
monitor,TXN054,1471.25,2024-03-26
tablet,TXN055,306.42,2024-04-07
headset,TXN056,1718.05,2024-03-04
laptop,TXN057,919.4,2024-01-21
VR headset,TXN058,1711.73,2024-04-10
webcam,TXN059,1996.81,2024-03-10
printer,TXN060,1005.64,2024-02-27
USB drive,TXN061,31.28,2024-01-20
tablet,TXN062,219.05,2024-01-26
VR headset,TXN063,533.2,2024-04-05
VR headset,TXN064,1422.83,2024-01-29
monitor,TXN065,1692.57,2024-03-08
RAM,TXN066,427.46,2024-02-17
RAM,TXN067,1340.68,2024-02-24
projector,TXN068,437.12,2024-04-07
RAM,TXN069,1405.0,2024-01-28
desk lamp,TXN070,1284.47,2024-01-18
external HDD,TXN071,1500.27,2024-03-22
microphone,TXN072,832.78,2024-03-09
headset,TXN073,1806.41,2024-01-16
headset,TXN074,1468.15,2024-04-09
CPU,TXN075,1881.42,2024-03-24
RAM,TXN076,1623.66,2024-03-20
headset,TXN077,1319.08,2024-01-26
projector,TXN078,415.96,2024-04-05
keyboard,TXN079,956.77,2024-02-24
graphics card,TXN080,302.62,2024-03-26
CPU,TXN081,279.14,2024-03-22
mouse,TXN082,1891.91,2024-02-15
smartwatch,TXN083,1775.84,2024-02-29
desk lamp,TXN084,1997.82,2024-03-16
tablet,TXN085,518.97,2024-04-12
tablet,TXN086,495.52,2024-04-09
printer,TXN087,1275.49,2024-02-11
mouse,TXN088,975.9,2024-02-03
mouse,TXN089,634.65,2024-01-21
smartwatch,TXN090,1873.27,2024-03-10
USB drive,TXN091,38.81,2024-01-21
headset,TXN092,822.12,2024-01-21
VR headset,TXN093,118.02,2024-02-05
smartwatch,TXN094,925.58,2024-03-18
monitor,TXN095,590.26,2024-02-09
RAM,TXN096,183.13,2024-03-13
USB drive,TXN097,1735.9,2024-01-21
desk lamp,TXN098,360.7,2024-04-02
graphics card,TXN099,585.43,2024-01-16
webcam,TXN100,1598.78,2024-04-02
tablet,TXN101,1304.85,2024-02-26
laptop,TXN102,1479.95,2024-03-14
microphone,TXN103,1950.98,2024-01-17
projector,TXN104,394.32,2024-04-06
graphics card,TXN105,1273.64,2024-02-04
VR headset,TXN106,934.16,2024-04-07
projector,TXN107,1997.67,2024-02-26
smartwatch,TXN108,1821.7,2024-03-20
